date,open,high,low,close,volume
1733403300000,13.8,13.8,13.8,13.8,19764.54
1733403600000,13.8,13.85,13.3,13.668,46759.28
1733403900000,13.668,13.788,13.552,13.664,13789.64
1733404200000,13.664,13.8,13.664,13.732,13782.02
1733404500000,13.732,14.0,13.611,13.93,28338.47
1733404800000,13.93,13.95,13.75,13.89,11315.93
1733405100000,13.89,13.938,13.854,13.854,10610.57
1733405400000,13.854,13.946,13.85,13.893,8603.19
1733405700000,13.893,13.979,13.88,13.979,18859.4
1733406000000,13.979,14.2,13.91,14.168,19153.93
1733406300000,14.168,14.168,13.88,14.128,12621.41
1733406600000,14.128,14.168,13.888,14.15,21755.62
1733406900000,14.15,14.242,14.021,14.217,14115.5
1733407200000,14.217,14.249,14.071,14.083,7652.16
1733407500000,14.083,14.163,13.0,13.684,56427.05
1733407800000,13.684,13.736,13.505,13.505,6824.12
1733408100000,13.505,13.57,13.252,13.253,20525.93
1733408400000,13.253,13.57,13.224,13.38,6283.6
1733408700000,13.38,13.594,13.321,13.594,7572.88
1733409000000,13.594,13.677,13.532,13.541,9050.93
1733409300000,13.541,13.58,13.321,13.471,4551.38
1733409600000,13.471,13.48,13.26,13.48,5168.16
1733409900000,13.48,13.5,13.338,13.466,3545.18
1733410200000,13.466,13.665,13.421,13.589,3961.83
1733410500000,13.589,13.6,13.491,13.538,5919.92
1733410800000,13.538,13.548,13.15,13.287,13801.37
1733411100000,13.287,13.485,13.231,13.485,3826.13
1733411400000,13.485,13.486,13.36,13.45,1073.79
1733411700000,13.45,13.458,13.21,13.25,6386.48
1733412000000,13.25,13.337,12.811,12.93,17378.13
1733412300000,12.93,13.156,12.645,13.021,14818.91
1733412600000,13.021,13.156,12.74,12.96,10004.67
1733412900000,12.96,13.349,12.96,13.147,4055.27
1733413200000,13.147,13.182,12.717,12.78,3271.79
1733413500000,12.78,13.17,12.73,12.925,6778.24
1733413800000,12.925,13.164,12.925,13.16,4217.93
1733414100000,13.16,13.175,13.0,13.156,3915.46
1733414400000,13.156,13.486,13.0,13.453,4152.12
1733414700000,13.453,13.738,13.15,13.524,8609.04
1733415000000,13.524,13.524,12.862,13.305,6045.95
1733415300000,13.305,13.529,13.288,13.482,1358.66
1733415600000,13.482,13.5,13.32,13.321,3216.11
1733415900000,13.321,13.526,13.1,13.1,959.56
1733416200000,13.1,13.289,13.079,13.212,846.62
1733416500000,13.212,13.55,13.079,13.44,3599.25
1733416800000,13.44,13.44,13.01,13.012,1617.0
1733417100000,13.012,13.4,13.012,13.251,1012.22
1733417400000,13.251,13.42,13.02,13.254,971.25
1733417700000,13.254,13.254,13.151,13.252,210.67
1733418000000,13.252,13.3,13.119,13.3,2588.73
1733418300000,13.3,13.3,13.026,13.102,1619.45
1733418600000,13.102,13.102,12.701,12.77,3388.63
1733418900000,12.77,13.089,12.722,12.874,2285.06
1733419200000,12.874,13.086,12.737,13.086,2407.1
1733419500000,13.086,13.099,12.824,12.824,4184.95
1733419800000,12.824,13.2,12.76,13.116,1058.09
1733420100000,13.116,13.198,12.883,13.198,2704.65
1733420400000,13.198,13.229,13.1,13.229,993.26
1733420700000,13.229,13.243,13.01,13.243,2095.43
1733421000000,13.243,13.431,13.191,13.42,1540.99
1733421300000,13.42,13.42,13.246,13.32,368.84
1733421600000,13.32,13.359,13.221,13.221,183.31
1733421900000,13.221,13.328,13.06,13.181,585.28
1733422200000,13.181,13.398,13.181,13.398,836.54
1733422500000,13.398,13.479,13.2,13.479,1511.57
1733422800000,13.479,13.479,13.112,13.4,1706.96
1733423100000,13.4,13.47,13.287,13.45,1411.97
1733423400000,13.45,13.5,13.0,13.22,4181.81
1733423700000,13.22,13.354,13.04,13.105,1015.64
1733424000000,13.105,13.212,13.023,13.112,1208.44
1733424300000,13.112,13.24,13.074,13.206,551.58
1733424600000,13.206,13.341,13.167,13.227,425.55
1733424900000,13.227,13.229,13.145,13.229,192.33
1733425200000,13.229,13.349,13.035,13.134,2395.51
1733425500000,13.134,13.372,13.057,13.297,1792.56
1733425800000,13.297,13.45,13.18,13.365,2139.77
1733426100000,13.365,13.498,13.279,13.305,1740.6
1733426400000,13.305,13.496,13.09,13.19,2672.66
1733426700000,13.19,13.334,13.068,13.119,1785.45
1733427000000,13.119,13.199,13.055,13.125,660.95
1733427300000,13.125,13.19,13.05,13.19,353.78
1733427600000,13.19,13.244,13.088,13.089,718.23
1733427900000,13.089,13.179,12.77,12.964,4502.17
1733428200000,12.964,13.28,12.7,12.879,4338.01
1733428500000,12.879,12.971,12.786,12.957,865.37
1733428800000,12.957,13.195,12.65,12.832,3436.45
1733429100000,12.832,13.2,12.766,12.911,3839.92
1733429400000,12.911,13.05,12.808,12.859,378.74
1733429700000,12.859,12.859,12.5,12.501,4301.33
1733430000000,12.501,12.795,12.5,12.501,2794.8
1733430300000,12.501,12.619,12.0,12.002,23309.44
1733430600000,12.002,12.201,12.0,12.044,1491.5
1733430900000,12.044,13.1,11.627,13.1,11705.74
1733431200000,13.1,13.152,12.8,13.035,2499.8
1733431500000,13.035,13.035,12.813,12.94,636.41
1733431800000,12.94,13.5,12.864,13.26,10242.65
1733432100000,13.26,13.5,13.211,13.32,4081.86
1733432400000,13.32,13.499,13.194,13.194,5515.08
1733432700000,13.194,13.499,13.194,13.41,2258.68
1733433000000,13.41,13.41,13.002,13.189,2995.25
1733433300000,13.189,13.395,12.825,13.098,1497.41
1733433600000,13.098,13.33,12.86,13.12,4094.71
1733433900000,13.12,13.464,12.985,13.202,2666.9
1733434200000,13.202,13.588,12.834,13.23,4205.68
1733434500000,13.23,13.506,13.065,13.253,1586.96
1733434800000,13.253,13.379,13.051,13.183,775.48
1733435100000,13.183,13.364,13.07,13.257,2490.98
1733435400000,13.257,13.3,13.036,13.2,1116.7
1733435700000,13.2,13.395,13.066,13.313,1102.69
1733436000000,13.313,13.338,12.997,13.266,769.07
1733436300000,13.266,13.266,13.17,13.256,382.13
1733436600000,13.256,13.256,12.88,12.88,2317.59
1733436900000,12.88,13.0,12.709,12.837,2781.91
1733437200000,12.837,12.92,12.743,12.92,1672.43
1733437500000,12.92,13.125,12.379,12.485,5254.9
1733437800000,12.485,13.14,12.485,12.85,4394.17
1733438100000,12.85,13.1,12.502,12.581,3640.8
1733438400000,12.581,12.717,12.5,12.603,1384.76
1733438700000,12.603,13.141,12.503,13.03,4214.94
1733439000000,13.03,13.175,12.858,12.909,1647.22
1733439300000,12.909,12.909,12.77,12.793,448.34
1733439600000,12.793,12.831,12.55,12.691,1904.78
1733439900000,12.691,12.806,12.5,12.755,2598.06
1733440200000,12.755,12.94,12.616,12.94,2047.06
1733440500000,12.94,12.947,12.72,12.947,2244.89
1733440800000,12.947,13.17,12.881,12.98,1860.0
1733441100000,12.98,13.17,12.98,13.17,1574.6
1733441400000,13.17,13.29,13.162,13.2,1653.74
1733441700000,13.2,13.2,12.94,13.06,532.56
1733442000000,13.06,13.06,12.92,12.96,1287.27
1733442300000,12.96,13.223,12.96,13.18,948.59
1733442600000,13.18,13.38,13.06,13.204,1430.94
1733442900000,13.204,13.372,13.062,13.143,249.29
1733443200000,13.143,13.478,13.128,13.478,2026.36
1733443500000,13.478,13.478,13.203,13.357,329.63
1733443800000,13.357,13.589,13.207,13.503,1618.77
1733444100000,13.503,13.719,13.503,13.64,751.87
1733444400000,13.64,13.758,13.584,13.614,578.51
1733444700000,13.614,13.752,13.584,13.584,286.79
1733445000000,13.584,13.758,13.584,13.757,220.05
1733445300000,13.757,13.999,13.584,13.624,1902.33
1733445600000,13.624,13.739,13.6,13.739,1155.35
1733445900000,13.739,13.739,13.584,13.584,980.71
1733446200000,13.584,13.604,13.584,13.604,65.64
1733446500000,13.604,13.604,13.586,13.588,33.03
1733446800000,13.588,13.998,13.588,13.998,860.45
1733447100000,13.998,13.999,13.602,13.864,1229.02
1733447400000,13.864,13.998,13.751,13.998,883.23
1733447700000,13.998,14.0,13.75,14.0,965.86
1733448000000,14.0,14.25,13.81,14.066,1452.32
1733448300000,14.066,14.24,13.82,14.24,333.2
1733448600000,14.24,14.5,14.101,14.445,5048.04
1733448900000,14.445,14.5,14.112,14.39,2799.05
1733449200000,14.39,14.4,14.081,14.29,1236.33
1733449500000,14.29,14.4,14.01,14.199,925.73
1733449800000,14.199,14.31,14.0,14.08,1068.5
1733450100000,14.08,14.26,13.912,14.259,550.28
1733450400000,14.259,14.26,13.912,14.041,1374.84
1733450700000,14.041,14.199,13.755,13.809,1911.42
1733451000000,13.809,13.809,12.85,13.075,8190.39
1733451300000,13.075,13.709,13.029,13.622,2597.6
1733451600000,13.622,13.88,13.622,13.744,1026.28
1733451900000,13.744,13.878,13.35,13.587,1300.56
1733452200000,13.587,13.8,13.34,13.498,811.15
1733452500000,13.498,14.099,13.498,14.098,2290.48
1733452800000,14.098,14.9,13.981,14.462,2524.12
1733453100000,14.462,14.78,13.694,13.901,2655.67
1733453400000,13.901,14.059,13.7,13.964,347.38
1733453700000,13.964,14.21,13.81,14.21,793.56
1733454000000,14.21,14.349,13.81,14.01,889.23
1733454300000,14.01,14.109,13.91,14.108,242.32
1733454600000,14.108,14.108,13.71,13.909,1809.34
1733454900000,13.909,14.009,13.781,14.0,421.88
1733455200000,14.0,14.21,13.842,14.053,1842.56
1733455500000,14.053,14.18,13.771,13.9,3759.06
1733455800000,13.9,14.284,13.86,14.256,1117.2
1733456100000,14.256,14.256,13.511,13.56,1602.88
1733456400000,13.56,13.971,13.56,13.9,716.77
1733456700000,13.9,13.9,13.71,13.898,387.64
1733457000000,13.898,13.909,13.71,13.804,32.66
1733457300000,13.804,14.057,13.702,13.927,551.19
1733457600000,13.927,13.964,13.712,13.95,72.51
1733457900000,13.95,13.95,13.61,13.799,156.94
1733458200000,13.799,13.941,13.647,13.941,341.61
1733458500000,13.941,14.104,13.841,13.841,893.36
1733458800000,13.841,14.16,13.841,13.981,1004.48
1733459100000,13.981,14.0,13.981,13.989,129.84
1733459400000,13.989,13.99,13.866,13.99,116.17
1733459700000,13.99,14.1,13.901,14.1,2110.81
1733460000000,14.1,14.161,13.93,14.161,586.14
1733460300000,14.161,14.161,14.002,14.16,8.54
1733460600000,14.16,14.161,13.91,14.015,1564.44
1733460900000,14.015,14.2,14.015,14.199,219.92
1733461200000,14.199,14.22,14.0,14.188,744.68
1733461500000,14.188,14.188,13.908,13.908,1089.35
1733461800000,13.908,14.0,13.908,14.0,1.01
1733462100000,14.0,14.388,13.908,14.199,3580.94
1733462400000,14.199,14.5,14.027,14.497,3107.97
1733462700000,14.497,14.497,14.364,14.496,867.12
1733463000000,14.496,14.496,13.8,14.357,2581.29
1733463300000,14.357,14.363,13.9,14.038,347.23
1733463600000,14.038,14.393,14.038,14.103,647.0
1733463900000,14.103,14.321,14.0,14.001,1752.48
1733464200000,14.001,14.231,14.001,14.074,347.84
1733464500000,14.074,14.114,13.9,13.9,213.98
1733464800000,13.9,14.3,13.9,14.298,388.14
1733465100000,14.298,14.3,13.88,13.923,457.2
1733465400000,13.923,14.073,13.923,14.023,326.33
1733465700000,14.023,14.179,13.989,14.179,177.51
1733466000000,14.179,14.18,13.664,13.707,2338.13
1733466300000,13.707,13.87,13.67,13.82,412.47
1733466600000,13.82,13.82,13.64,13.789,856.77
1733466900000,13.789,14.18,13.6,14.14,1603.93
1733467200000,14.14,14.14,13.62,13.705,1290.36
1733467500000,13.705,14.0,13.705,13.889,618.24
1733467800000,13.889,14.064,13.807,13.975,324.77
1733468100000,13.975,14.063,13.747,13.818,411.48
1733468400000,13.818,14.129,13.818,13.891,293.39
1733468700000,13.891,14.03,13.856,13.992,276.22
1733469000000,13.992,14.043,13.875,13.875,105.0
1733469300000,13.875,14.0,13.804,13.804,109.88
1733469600000,13.804,13.987,13.601,13.835,614.82
1733469900000,13.835,13.877,13.6,13.624,1146.29
1733470200000,13.624,13.87,13.624,13.644,233.87
1733470500000,13.644,13.87,13.644,13.661,178.45
1733470800000,13.661,13.776,13.66,13.76,222.69
1733471100000,13.76,14.057,13.661,14.057,1353.66
1733471400000,14.057,14.14,13.781,14.083,4331.2
1733471700000,14.083,14.083,13.88,13.883,199.86
1733472000000,13.883,14.124,13.657,13.657,2565.32
1733472300000,13.657,14.016,13.64,13.848,325.1
1733472600000,13.848,14.14,13.696,13.89,1853.54
1733472900000,13.89,14.096,13.89,13.958,135.67
1733473200000,13.958,14.1,13.899,14.054,550.69
1733473500000,14.054,14.1,13.777,13.873,823.86
1733473800000,13.873,14.13,13.846,14.1,875.18
1733474100000,14.1,14.1,13.986,14.015,243.71
1733474400000,14.015,14.13,14.0,14.028,718.16
1733474700000,14.028,14.13,14.028,14.029,95.6
1733475000000,14.029,14.13,14.0,14.0,652.28
1733475300000,14.0,14.099,13.589,13.794,1385.77
1733475600000,13.794,13.802,13.5,13.504,2566.26
1733475900000,13.504,13.776,13.31,13.663,3706.72
1733476200000,13.663,13.733,13.401,13.404,1672.49
1733476500000,13.404,13.67,13.315,13.315,1674.34
1733476800000,13.315,13.519,13.31,13.5,2330.01
1733477100000,13.5,13.5,13.326,13.326,332.98
1733477400000,13.326,13.4,13.31,13.31,191.01
1733477700000,13.31,13.501,13.222,13.387,1565.72
1733478000000,13.387,13.501,13.385,13.501,3068.03
1733478300000,13.501,13.542,13.501,13.542,86.0
1733478600000,13.542,13.711,13.388,13.399,363.44
1733478900000,13.399,13.442,13.25,13.252,2273.16
1733479200000,13.252,13.348,13.251,13.252,694.02
1733479500000,13.252,13.447,13.252,13.291,661.88
1733479800000,13.291,13.396,13.275,13.377,940.03
1733480100000,13.377,13.5,13.097,13.247,6270.31
1733480400000,13.247,13.5,13.247,13.436,625.26
1733480700000,13.436,13.436,13.111,13.199,554.23
1733481000000,13.199,13.36,13.15,13.352,2254.26
1733481300000,13.352,13.352,13.171,13.171,606.36
1733481600000,13.171,13.38,13.171,13.304,1156.98
1733481900000,13.304,13.334,13.216,13.334,1438.69
1733482200000,13.334,13.485,13.259,13.399,1004.74
1733482500000,13.399,13.48,13.301,13.301,921.52
1733482800000,13.301,13.345,13.201,13.316,3378.86
1733483100000,13.316,13.473,13.204,13.367,1052.77
1733483400000,13.367,13.402,13.287,13.4,967.02
1733483700000,13.4,13.401,13.286,13.287,245.93
1733484000000,13.287,13.31,13.281,13.283,753.5
1733484300000,13.283,13.406,13.175,13.335,1037.78
1733484600000,13.335,13.335,13.27,13.334,156.61
1733484900000,13.334,13.335,13.183,13.32,1637.0
1733485200000,13.32,13.32,13.281,13.281,561.85
1733485500000,13.281,13.281,13.132,13.132,1233.45
1733485800000,13.132,13.232,13.0,13.128,3054.69
1733486100000,13.128,13.262,12.831,13.129,4703.69
1733486400000,13.129,13.166,12.71,13.097,2382.32
1733486700000,13.097,13.15,12.965,13.101,555.28
1733487000000,13.101,13.442,12.9,13.009,2430.26
1733487300000,13.009,13.32,12.922,13.049,3934.05
1733487600000,13.049,13.185,12.88,12.996,1656.77
1733487900000,12.996,13.1,12.81,13.008,832.2
1733488200000,13.008,13.288,12.9,13.288,1719.24
1733488500000,13.288,13.288,12.7,13.28,6415.99
1733488800000,13.28,13.28,13.005,13.229,661.8
1733489100000,13.229,13.229,13.006,13.084,1233.08
1733489400000,13.084,13.084,12.83,12.97,1238.1
1733489700000,12.97,12.988,12.9,12.918,636.06
1733490000000,12.918,13.12,12.918,13.113,2557.38
1733490300000,13.113,13.366,12.71,12.763,4226.22
1733490600000,12.763,13.008,12.71,12.82,1701.06
1733490900000,12.82,13.14,12.82,13.04,1265.96
1733491200000,13.04,13.286,12.945,13.25,1046.99
1733491500000,13.25,13.25,12.879,13.112,2328.37
1733491800000,13.112,13.158,12.88,13.056,513.99
1733492100000,13.056,13.189,12.847,13.138,2538.56
1733492400000,13.138,13.151,12.93,13.021,1282.61
1733492700000,13.021,13.679,13.02,13.484,6596.11
1733493000000,13.484,13.488,13.248,13.478,1145.8
1733493300000,13.478,13.478,13.215,13.397,2924.19
1733493600000,13.397,13.98,13.011,13.425,12173.95
1733493900000,13.425,13.515,13.312,13.515,1029.95
1733494200000,13.515,13.54,13.292,13.525,731.88
1733494500000,13.525,13.539,13.245,13.395,2291.21
1733494800000,13.395,13.523,13.245,13.491,575.77
1733495100000,13.491,13.668,13.42,13.595,791.73
1733495400000,13.595,13.635,13.506,13.599,168.65
1733495700000,13.599,13.678,13.501,13.52,851.87
1733496000000,13.52,13.67,13.519,13.641,488.23
1733496300000,13.641,13.779,13.594,13.779,1602.59
1733496600000,13.779,13.779,13.657,13.778,289.93
1733496900000,13.778,13.779,13.657,13.779,717.88
1733497200000,13.779,13.879,13.5,13.5,1183.78
1733497500000,13.5,13.86,13.5,13.8,915.42
1733497800000,13.8,13.979,13.715,13.847,2503.38
1733498100000,13.847,14.989,13.794,14.008,13803.97
1733498400000,14.008,14.54,14.008,14.2,3729.02
1733498700000,14.2,14.454,13.937,14.199,2078.96
1733499000000,14.199,14.46,14.022,14.327,4564.82
1733499300000,14.327,14.6,13.688,14.6,2562.13
1733499600000,14.6,14.6,14.151,14.209,1580.96
1733499900000,14.209,14.21,14.195,14.21,178.69
1733500200000,14.21,14.21,14.1,14.21,1404.95
1733500500000,14.21,14.58,14.135,14.3,1820.56
1733500800000,14.3,14.449,14.212,14.254,617.52
1733501100000,14.254,14.432,14.154,14.161,1104.9
1733501400000,14.161,14.46,14.1,14.195,2080.9
1733501700000,14.195,14.501,14.012,14.361,1888.63
1733502000000,14.361,14.454,14.179,14.34,339.86
1733502300000,14.34,14.439,14.114,14.394,326.77
1733502600000,14.394,14.537,14.122,14.359,808.82
1733502900000,14.359,14.565,14.359,14.565,1552.9
1733503200000,14.565,14.58,14.355,14.471,575.8
1733503500000,14.471,14.895,14.471,14.895,2530.21
1733503800000,14.895,15.262,14.551,14.982,7315.68
1733504100000,14.982,15.261,14.76,14.898,2577.07
1733504400000,14.898,15.212,14.828,15.132,1091.6
1733504700000,15.132,15.204,14.65,14.762,3810.95
1733505000000,14.762,14.944,14.762,14.8,434.64
1733505300000,14.8,14.992,14.565,14.701,2635.57
1733505600000,14.701,14.89,14.641,14.72,1819.29
1733505900000,14.72,14.861,14.646,14.738,1442.48
1733506200000,14.738,14.79,14.5,14.511,700.21
1733506500000,14.511,14.85,14.511,14.747,1063.26
1733506800000,14.747,14.85,14.747,14.8,473.8
1733507100000,14.8,14.8,14.569,14.667,1002.7
1733507400000,14.667,14.9,14.632,14.806,2026.71
1733507700000,14.806,14.95,14.757,14.759,951.98
1733508000000,14.759,14.94,14.698,14.938,638.7
1733508300000,14.938,15.239,14.851,14.905,3212.41
1733508600000,14.905,14.989,14.65,14.836,665.21
1733508900000,14.836,14.85,14.631,14.759,535.3
1733509200000,14.759,14.859,14.311,14.432,2062.19
1733509500000,14.432,14.6,14.432,14.56,145.04
1733509800000,14.56,14.6,14.46,14.6,469.94
1733510100000,14.6,14.989,14.6,14.684,1086.02
1733510400000,14.684,14.684,14.536,14.536,1979.14
1733510700000,14.536,14.65,14.502,14.6,355.28
1733511000000,14.6,14.63,14.6,14.6,451.03
1733511300000,14.6,14.63,14.501,14.63,290.44
1733511600000,14.63,14.64,14.51,14.51,883.38
1733511900000,14.51,14.684,14.311,14.684,5243.28
1733512200000,14.684,14.684,14.611,14.659,109.83
1733512500000,14.659,14.659,14.323,14.36,597.21
1733512800000,14.36,14.36,14.29,14.29,837.34
1733513100000,14.29,14.359,14.261,14.359,61.99
1733513400000,14.359,14.359,14.11,14.2,2264.18
1733513700000,14.2,14.388,14.112,14.258,947.74
1733514000000,14.258,14.659,14.258,14.259,1184.86
1733514300000,14.259,14.561,14.259,14.328,802.59
1733514600000,14.328,14.509,14.01,14.299,3636.89
1733514900000,14.299,14.684,14.226,14.501,3303.78
1733515200000,14.501,14.67,14.4,14.67,335.27
1733515500000,14.67,14.67,14.603,14.605,384.09
1733515800000,14.605,14.684,14.447,14.522,830.12
1733516100000,14.522,14.684,14.522,14.684,650.49
1733516400000,14.684,14.684,14.532,14.683,27.16
1733516700000,14.683,14.684,14.441,14.544,327.52
1733517000000,14.544,14.719,14.544,14.719,128.92
1733517300000,14.719,14.754,14.5,14.61,578.28
1733517600000,14.61,14.635,14.5,14.508,979.64
1733517900000,14.508,14.63,14.5,14.5,986.15
1733518200000,14.5,14.557,14.468,14.468,2730.27
1733518500000,14.468,14.565,14.46,14.46,2731.86
1733518800000,14.46,14.66,14.46,14.465,291.9
1733519100000,14.465,14.688,14.46,14.688,1575.05
1733519400000,14.688,14.688,14.503,14.688,117.06
1733519700000,14.688,14.688,14.56,14.56,36.19
1733520000000,14.56,14.688,14.56,14.605,387.3
1733520300000,14.605,14.688,14.605,14.688,2047.64
1733520600000,14.688,14.945,14.562,14.728,337.41
1733520900000,14.728,14.78,14.592,14.611,52.43
1733521200000,14.611,14.779,14.611,14.732,84.56
1733521500000,14.732,14.776,14.693,14.693,253.17
1733521800000,14.693,14.748,14.625,14.747,590.09
1733522100000,14.747,14.99,14.704,14.989,1264.79
1733522400000,14.989,14.989,14.848,14.864,147.97
1733522700000,14.864,14.947,14.857,14.857,28.13
1733523000000,14.857,14.964,14.857,14.963,79.92
1733523300000,14.963,15.402,14.812,14.812,2237.71
1733523600000,14.812,15.735,14.804,15.029,4820.87
1733523900000,15.029,15.495,14.92,15.354,2139.61
1733524200000,15.354,15.5,15.2,15.448,1426.43
1733524500000,15.448,15.5,15.448,15.499,642.59
1733524800000,15.499,15.499,15.174,15.177,622.29
1733525100000,15.177,15.391,15.177,15.389,471.02
1733525400000,15.389,15.389,15.18,15.315,303.18
1733525700000,15.315,15.394,15.2,15.297,175.25
1733526000000,15.297,15.487,15.184,15.184,636.9
1733526300000,15.184,15.28,15.026,15.177,867.56
1733526600000,15.177,15.238,15.03,15.194,391.31
1733526900000,15.194,15.194,15.102,15.188,77.02
1733527200000,15.188,15.2,15.0,15.079,1988.56
1733527500000,15.079,15.197,15.0,15.003,467.03
1733527800000,15.003,15.149,15.003,15.017,183.59
1733528100000,15.017,15.1,15.017,15.1,214.68
1733528400000,15.1,15.1,14.8,14.867,4856.32
1733528700000,14.867,14.926,14.775,14.806,153.32
1733529000000,14.806,15.199,14.806,15.061,876.74
1733529300000,15.061,15.147,14.902,14.999,651.72
1733529600000,14.999,15.107,14.805,14.877,909.8
1733529900000,14.877,15.057,14.877,14.972,428.05
1733530200000,14.972,15.15,14.972,15.148,161.4
1733530500000,15.148,15.15,14.96,15.081,478.14
1733530800000,15.081,15.13,14.83,15.0,544.76
1733531100000,15.0,15.056,14.88,15.056,171.4
1733531400000,15.056,15.107,15.056,15.09,67.46
1733531700000,15.09,15.09,14.953,15.05,73.79
1733532000000,15.05,15.05,14.831,14.831,104.55
1733532300000,14.831,15.045,14.831,15.044,13.43
1733532600000,15.044,15.044,14.993,15.0,34.46
1733532900000,15.0,15.026,14.979,14.993,274.55
1733533200000,14.993,14.993,14.979,14.979,46.44
1733533500000,14.979,15.026,14.945,15.026,357.39
1733533800000,15.026,15.026,14.859,14.875,249.64
1733534100000,14.875,14.984,14.83,14.984,149.51
1733534400000,14.984,15.026,14.896,15.0,505.69
1733534700000,15.0,15.026,15.0,15.026,41.23
1733535000000,15.026,15.134,15.024,15.134,161.79
1733535300000,15.134,15.134,15.01,15.063,371.74
1733535600000,15.063,15.139,15.012,15.103,105.18
1733535900000,15.103,15.139,15.01,15.01,126.89
1733536200000,15.01,15.012,15.01,15.012,10.0
1733536500000,15.012,15.013,14.836,14.917,391.21
1733536800000,14.917,14.962,14.83,14.83,106.69
1733537100000,14.83,15.2,14.602,15.075,1662.51
1733537400000,15.075,15.2,15.04,15.079,124.63
1733537700000,15.079,15.079,15.065,15.065,9.36
1733538000000,15.065,15.2,15.058,15.19,262.92
1733538300000,15.19,15.26,15.19,15.26,467.85
1733538600000,15.26,15.286,15.19,15.19,172.86
1733538900000,15.19,15.399,15.19,15.399,544.68
1733539200000,15.399,15.399,15.279,15.354,309.79
1733539500000,15.354,15.4,15.354,15.399,1083.18
1733539800000,15.399,15.46,15.36,15.365,872.28
1733540100000,15.365,15.46,15.365,15.402,237.87
1733540400000,15.402,15.46,15.362,15.46,506.08
1733540700000,15.46,15.5,15.362,15.5,971.13
1733541000000,15.5,15.562,15.259,15.356,775.39
1733541300000,15.356,15.6,15.356,15.49,939.06
1733541600000,15.49,15.8,15.49,15.498,870.84
