return_%,sharpe,sortino,maxdd_%,winrate_%,trades,profit_factor,calmar,pair,hypothesis,params,hold
-100.0,-34.14,-38.826,100.0,8.8,11144,0.044,-0.987,BTC,01_um_cvd_momentum,lb=12,60
-100.0,-37.182,-40.693,100.0,6.4,10513,0.058,-0.984,BTC,01_um_cvd_momentum,lb=60,60
-100.0,-23.379,-25.927,100.0,7.3,4502,0.094,-0.829,BTC,01_um_cvd_momentum,lb=288,60
-100.0,-35.24,-38.814,100.0,8.1,11023,0.034,-0.987,BTC,02_spot_cvd_momentum,lb=12,60
-100.0,-35.334,-39.773,100.0,6.4,10225,0.093,-0.981,BTC,02_spot_cvd_momentum,lb=60,60
-99.96,-18.305,-20.871,99.96,7.1,3141,0.116,-0.713,BTC,02_spot_cvd_momentum,lb=288,60
-100.0,-36.317,-40.101,100.0,8.6,11217,0.014,-0.987,BTC,03_cm_cvd_momentum,lb=12,60
-100.0,-36.867,-41.413,100.0,6.5,10628,0.076,-0.984,BTC,03_cm_cvd_momentum,lb=60,60
-100.0,-23.072,-26.285,100.0,7.3,4477,0.095,-0.821,BTC,03_cm_cvd_momentum,lb=288,60
-100.0,-36.19,-39.705,100.0,8.2,11444,0.034,-0.987,BTC,04_um_cvd_divergence,lb=12,60
-100.0,-38.919,-41.417,100.0,6.5,10966,0.066,-0.986,BTC,04_um_cvd_divergence,lb=60,60
-100.0,-34.829,-36.827,100.0,5.3,8431,0.053,-0.964,BTC,04_um_cvd_divergence,lb=288,60
-100.0,-34.891,-37.836,100.0,8.8,11349,0.029,-0.987,BTC,05_spot_cvd_divergence,lb=12,60
-100.0,-38.233,-40.97,100.0,6.4,11147,0.055,-0.985,BTC,05_spot_cvd_divergence,lb=60,60
-100.0,-32.597,-34.591,100.0,5.6,7778,0.069,-0.953,BTC,05_spot_cvd_divergence,lb=288,60
-100.0,-35.875,-38.333,100.0,8.2,11369,0.013,-0.987,BTC,06_cm_cvd_divergence,lb=12,60
-100.0,-37.937,-40.327,100.0,6.2,10796,0.029,-0.985,BTC,06_cm_cvd_divergence,lb=60,60
-100.0,-33.767,-36.09,100.0,5.5,7896,0.04,-0.954,BTC,06_cm_cvd_divergence,lb=288,60
-100.0,-34.366,-38.901,100.0,8.7,11246,0.038,-0.987,BTC,07_um_vs_spot_cvd,lb=12,60
-100.0,-38.532,-41.326,100.0,6.0,10579,0.06,-0.985,BTC,07_um_vs_spot_cvd,lb=60,60
-100.0,-26.499,-28.822,100.0,6.4,5422,0.072,-0.876,BTC,07_um_vs_spot_cvd,lb=288,60
-100.0,-36.339,-40.254,100.0,8.1,11378,0.022,-0.987,BTC,08_um_vs_cm_cvd,lb=12,60
-100.0,-38.255,-40.958,100.0,6.1,10643,0.044,-0.985,BTC,08_um_vs_cm_cvd,lb=60,60
-100.0,-28.246,-30.15,100.0,6.4,6004,0.065,-0.902,BTC,08_um_vs_cm_cvd,lb=288,60
-100.0,-27.78,-33.364,100.0,11.4,10705,0.116,-0.986,BTC,09_um_delta_zscore,w=60_z=2,60
-100.0,-26.519,-32.221,100.0,12.3,10358,0.169,-0.985,BTC,09_um_delta_zscore,w=288_z=2,60
-100.0,-25.895,-31.23,100.0,13.1,10325,0.177,-0.985,BTC,09_um_delta_zscore,w=576_z=2,60
-100.0,-28.133,-33.595,100.0,10.4,10732,0.075,-0.986,BTC,10_spot_delta_zscore,w=60_z=2,60
-100.0,-27.816,-33.218,100.0,11.1,10468,0.132,-0.985,BTC,10_spot_delta_zscore,w=288_z=2,60
-100.0,-27.578,-32.815,100.0,11.6,10511,0.152,-0.985,BTC,10_spot_delta_zscore,w=576_z=2,60
-100.0,-35.25,-39.078,100.0,9.0,11264,0.038,-0.987,BTC,11_oi_momentum,lb=12,60
-100.0,-37.954,-41.179,100.0,6.8,10678,0.061,-0.984,BTC,11_oi_momentum,lb=60,60
-100.0,-26.616,-30.106,100.0,7.8,5790,0.11,-0.89,BTC,11_oi_momentum,lb=288,60
-100.0,-34.782,-38.17,100.0,9.0,11525,0.051,-0.987,BTC,12_oi_price_div,lb=12,60
-100.0,-38.618,-41.253,100.0,6.1,10837,0.042,-0.984,BTC,12_oi_price_div,lb=60,60
-100.0,-29.931,-31.709,100.0,6.2,6903,0.075,-0.933,BTC,12_oi_price_div,lb=288,60
-100.0,-32.75,-36.931,100.0,9.0,10636,0.067,-0.984,BTC,13_oi_zscore_high,w=60,60
-100.0,-20.077,-24.288,100.0,9.4,5149,0.174,-0.867,BTC,13_oi_zscore_high,w=288,60
-99.98,-15.374,-18.631,99.98,10.0,3466,0.158,-0.743,BTC,13_oi_zscore_high,w=576,60
-30.69,-3.736,-4.103,31.01,12.2,147,0.089,-0.185,BTC,14_funding_dir,th=0.0001,60
-17.32,-2.307,-2.544,17.32,15.7,70,0.108,-0.174,BTC,14_funding_dir,th=0.0005,60
-96.18,-12.825,-14.07,96.18,9.4,1387,0.101,-0.424,BTC,15_funding_zscore,w=288,60
-86.47,-9.213,-10.616,86.47,11.0,879,0.122,-0.318,BTC,15_funding_zscore,w=576,60
-71.34,-7.619,-8.519,71.34,11.2,536,0.088,-0.255,BTC,15_funding_zscore,w=1152,60
-100.0,-39.216,-42.274,100.0,5.8,10522,0.084,-0.983,BTC,16_funding_cvd,lb=60,60
-99.99,-21.285,-23.512,99.99,6.8,3725,0.099,-0.768,BTC,16_funding_cvd,lb=288,60
-99.7,-18.085,-19.58,99.7,6.8,2401,0.057,-0.608,BTC,16_funding_cvd,lb=576,60
-89.7,-9.489,-11.915,89.7,10.0,1051,0.121,-0.341,BTC,17_ls_ratio_dir,th=0.9,60
-93.09,-9.372,-10.265,93.09,8.0,1081,0.076,-0.375,BTC,17_ls_ratio_dir,th=0.95,60
-83.19,-9.209,-9.654,83.19,8.4,705,0.047,-0.3,BTC,17_ls_ratio_dir,th=1.0,60
-69.94,-6.339,-7.025,69.94,13.9,468,0.109,-0.251,BTC,18_top_ls_contrarian,th=0.85,60
-72.2,-4.478,-6.76,72.2,9.5,539,0.179,-0.258,BTC,18_top_ls_contrarian,th=0.9,60
-49.54,-2.912,-2.944,49.67,11.2,233,0.04,-0.21,BTC,18_top_ls_contrarian,th=0.95,60
-100.0,-38.459,-40.864,100.0,6.2,10726,0.026,-0.985,BTC,19_taker_zscore,w=60,60
-100.0,-40.16,-42.591,100.0,5.1,10767,0.028,-0.984,BTC,19_taker_zscore,w=288,60
-100.0,-40.441,-43.082,100.0,5.0,10781,0.025,-0.984,BTC,19_taker_zscore,w=576,60
-99.97,-11.948,-15.847,99.97,15.3,3730,0.177,-0.728,BTC,20_basis_dir,th=0.001,60
-60.81,-1.904,-3.125,65.99,22.8,569,0.477,-0.212,BTC,20_basis_dir,th=0.002,60
1.07,0.058,0.094,18.47,44.2,43,1.033,0.009,BTC,20_basis_dir,th=0.005,60
-100.0,-29.408,-35.51,100.0,9.6,11579,0.141,-0.986,BTC,21_basis_zscore,w=60,60
-100.0,-29.393,-33.764,100.0,8.7,11057,0.109,-0.985,BTC,21_basis_zscore,w=288,60
-100.0,-28.899,-33.633,100.0,8.8,11072,0.147,-0.984,BTC,21_basis_zscore,w=576,60
-100.0,-41.04,-42.903,100.0,5.0,10494,0.046,-0.983,BTC,22_cvd_oi_price,lb=60,60
-100.0,-25.415,-26.976,100.0,5.9,4915,0.094,-0.857,BTC,22_cvd_oi_price,lb=288,60
-99.99,-22.187,-23.437,99.99,5.9,3578,0.065,-0.758,BTC,22_cvd_oi_price,lb=576,60
-98.71,-13.168,-15.035,98.71,9.0,1803,0.116,-0.51,BTC,23_cvd_funding_squeeze,lb=60,60
-78.02,-7.425,-8.441,78.02,10.6,604,0.11,-0.277,BTC,23_cvd_funding_squeeze,lb=288,60
-59.19,-6.133,-6.535,59.26,11.2,365,0.067,-0.226,BTC,23_cvd_funding_squeeze,lb=576,60
-100.0,-33.287,-37.687,100.0,9.7,11077,0.027,-0.987,BTC,24_triple_cvd_align,lb=12,60
-100.0,-35.142,-39.589,100.0,7.1,10748,0.068,-0.985,BTC,24_triple_cvd_align,lb=60,60
-100.0,-25.287,-28.686,100.0,7.0,5326,0.106,-0.874,BTC,24_triple_cvd_align,lb=288,60
-100.0,-34.849,-37.247,100.0,6.2,9357,0.069,-0.973,BTC,25_oi_ls_squeeze,lb=60,60
-100.0,-23.977,-25.69,100.0,7.0,4931,0.072,-0.85,BTC,25_oi_ls_squeeze,lb=288,60
-99.99,-20.55,-22.245,99.99,7.0,3767,0.086,-0.768,BTC,25_oi_ls_squeeze,lb=576,60
-97.76,-10.279,-11.697,97.76,12.0,1621,0.131,-0.467,BTC,26_rsi_cvd,lb=60_rsi14,60
-99.98,-17.12,-19.367,99.98,11.0,3796,0.155,-0.751,BTC,26_rsi_cvd,lb=288_rsi14,60
-99.99,-17.59,-20.096,99.99,11.0,4165,0.159,-0.78,BTC,26_rsi_cvd,lb=576_rsi14,60
-100.0,-31.673,-35.656,100.0,9.4,11105,0.033,-0.987,BTC,27_cvd_acceleration,lb=12,60
-100.0,-34.875,-37.975,100.0,6.9,10537,0.052,-0.985,BTC,27_cvd_acceleration,lb=60,60
-100.0,-26.705,-29.826,100.0,6.7,5958,0.106,-0.902,BTC,27_cvd_acceleration,lb=288,60
-100.0,-36.299,-40.682,100.0,6.4,10615,0.048,-0.986,BTC,28_um_imbalance_z,w=60,60
-100.0,-38.834,-42.55,100.0,5.4,10459,0.053,-0.985,BTC,28_um_imbalance_z,w=288,60
-100.0,-39.815,-43.159,100.0,5.1,10411,0.055,-0.985,BTC,28_um_imbalance_z,w=576,60
-99.97,-12.971,-16.646,99.97,14.0,3511,0.172,-0.724,BTC,29_funding_basis,th=0.001,60
-66.65,-2.693,-3.949,66.93,21.2,537,0.391,-0.242,BTC,29_funding_basis,th=0.002,60
-13.31,-0.411,-0.565,19.61,37.1,35,0.57,-0.116,BTC,29_funding_basis,th=0.005,60
-81.46,-3.125,-4.26,81.78,24.2,751,0.402,-0.29,BTC,30_oi_roc,lb=12_>5%,60
-99.62,-10.248,-13.077,99.62,16.5,2411,0.243,-0.593,BTC,30_oi_roc,lb=60_>5%,60
-99.99,-15.95,-19.234,99.99,11.1,3813,0.144,-0.77,BTC,30_oi_roc,lb=288_>5%,60
-100.0,-38.231,-40.288,100.0,4.6,9235,0.033,-0.972,BTC,31_taker_oi,w=60,60
-100.0,-35.063,-37.192,100.0,4.3,7881,0.037,-0.952,BTC,31_taker_oi,w=288,60
-100.0,-36.365,-37.878,100.0,4.2,7767,0.04,-0.95,BTC,31_taker_oi,w=576,60
-100.0,-28.304,-33.501,100.0,11.6,10362,0.147,-0.984,BTC,32_multi_cvd_zscore,w=60,60
-100.0,-23.401,-28.383,100.0,13.5,8270,0.171,-0.964,BTC,32_multi_cvd_zscore,w=288,60
-100.0,-22.461,-27.445,100.0,14.1,7862,0.181,-0.958,BTC,32_multi_cvd_zscore,w=576,60
-11.26,-0.692,-1.517,14.4,22.6,115,0.572,-0.132,BTC,33_funding_rsi,w=288,60
