hypothesis,params,return_%,sharpe,sortino,maxdd_%,winrate_%,trades,calmar,profit_factor,beats_sharpe,beats_return,beats_dd
01_vol_haute,atr_14>med,113.64,1.548,2.174,52.64,68.5,387,2.726,1.171,False,False,False
01_vol_haute,atr_60>med,105.5,1.518,2.122,48.72,68.2,343,2.723,1.179,False,False,False
01_vol_haute,atr_288>med,318.29,2.833,4.005,35.56,72.5,295,12.24,1.535,True,True,True
02_vol_basse,atr_14<med,-29.07,-0.784,-1.075,37.48,58.9,151,-0.884,0.789,False,False,True
02_vol_basse,atr_60<med,-21.06,-0.473,-0.65,31.08,62.1,145,-0.779,0.849,False,False,True
02_vol_basse,atr_288<med,-37.06,-1.075,-1.491,46.03,57.8,147,-0.91,0.714,False,False,False
03_atr_zscore_high,w=60_z>1,-2.04,0.322,0.442,50.95,65.4,324,-0.047,0.994,False,False,False
03_atr_zscore_high,w=144_z>1,17.54,0.622,0.854,41.6,66.2,308,0.501,1.049,False,False,False
03_atr_zscore_high,w=288_z>1,-35.45,-0.414,-0.564,56.77,62.5,264,-0.707,0.877,False,False,False
04_atr_zscore_low,w=60_z<-0.5,-34.05,-0.551,-0.744,58.4,59.8,234,-0.661,0.861,False,False,False
04_atr_zscore_low,w=144_z<-0.5,-13.17,-0.094,-0.13,51.23,61.5,182,-0.298,0.929,False,False,False
04_atr_zscore_low,w=288_z<-0.5,47.22,1.246,1.762,36.3,66.9,160,1.58,1.293,False,False,True
05_vol_spike,w=20_>2x,-2.21,0.329,0.454,55.11,64.6,342,-0.047,0.994,False,False,False
05_vol_spike,w=60_>2x,33.29,0.826,1.144,49.48,66.0,362,0.81,1.075,False,False,False
05_vol_spike,w=288_>2x,9.59,0.517,0.717,51.25,64.9,356,0.221,1.022,False,False,False
06_vol_creux,w=20_<0.5x,-63.2,-1.45,-1.952,72.65,58.1,267,-0.95,0.713,False,False,False
06_vol_creux,w=60_<0.5x,-55.46,-1.197,-1.617,68.88,58.4,255,-0.889,0.76,False,False,False
06_vol_creux,w=288_<0.5x,-62.81,-1.668,-2.249,70.85,56.4,225,-0.969,0.683,False,False,False
07_rsi_extreme,p=14_<30/>70,21.01,0.674,0.94,53.33,65.5,377,0.47,1.046,False,False,False
